feature,importance
capitalgain,0.03787562604340565
education-num,0.024457429048414005
age-group,0.011477462437395647
hoursperweek,0.0083889816360601
relationship_wife,0.006573455759599334
marital-status_never-married,0.006072621035058401
capitalloss,0.005488313856427373
occupation_farming-fishing,0.004590984974958257
occupation_other-service,0.004570116861435702
marital-status_married-civ-spouse,0.004215358931552582
relationship_own-child,0.003964941569282132
relationship_husband,0.0035684474123539147
marital-status_divorced,0.0030467445742904608
education,0.002879799666110161
relationship_not-in-family,0.002817195325542543
sex_female,0.0024624373956594003
occupation_handlers-cleaners,0.0023998330550917936
relationship_unmarried,0.0023580968280467185
workclass_self-emp-not-inc,0.0023163606010016434
fnlwgt,0.00204507512520864
race_black,0.0020242070116860966
relationship_other-relative,0.00179465776293819
occupation_transport-moving,0.001752921535893115
occupation_exec-managerial,0.0015442404006677402
workclass_federal-gov,0.0015025041736226763
occupation_prof-specialty,0.0011060100166944697
occupation_machine-op-inspct,0.0007095158597662521
sex_male,0.0005843071786310161
occupation_tech-support,0.0005217028380634203
race_amer-indian-eskimo,0.0005008347245408884
native-country_el-salvador,0.00047996661101833426
marital-status_widowed,0.0003756260434056302
workclass_private,0.00029215358931552473
race_other,0.00022954924874788452
native-country-code_GRC,0.0002086811352253304
native-country-code_DUE,0.0002086811352253304
native-country-code_DOM,0.00020868113522531928
native-country_dominican-republic,0.00020868113522531928
native-country-code_MEX,0.00018781302170279847
native-country_portugal,0.00016694490818025542
native-country_philippines,0.00016694490818025542
native-country_peru,0.0001460767946577235
occupation_priv-house-serv,0.00010434056761265964
workclass_self-emp-inc,8.347245409012771e-05
native-country-code_SLV,8.347245409011661e-05
native-country_canada,6.260434056760688e-05
native-country-code_JAM,6.260434056759578e-05
native-country-code_GTM,6.260434056759578e-05
workclass_local-gov,6.260434056758468e-05
native-country-code_JPN,4.1736227045063856e-05
native-country_haiti,4.1736227045063856e-05
native-country-code_PRI,4.1736227045063856e-05
race_white,4.173622704505276e-05
occupation_protective-serv,4.173622704505276e-05
native-country_puerto-rico,4.173622704504165e-05
native-country-code_IRN,2.0868113522531928e-05
native-country-code_LAO,2.0868113522531928e-05
native-country_greece,2.0868113522531928e-05
native-country_guatemala,2.0868113522531928e-05
native-country_japan,2.0868113522531928e-05
workclass_without-pay,2.0868113522531928e-05
marital-status_married-spouse-absent,2.0868113522520825e-05
occupation_armed-forces,2.0868113522520825e-05
native-country-code_ITA,2.0868113522509722e-05
native-country_italy,2.0868113522509722e-05
native-country_holand-netherlands,0.0
native-country_honduras,0.0
native-country_germany,0.0
native-country_hong,0.0
native-country_iran,0.0
native-country_ireland,0.0
native-country_laos,0.0
native-country_taiwan,0.0
native-country_outlying-us(guam-usvi-etc),0.0
native-country-code_UMI,0.0
native-country-code_IRL,0.0
native-country-code_GBR,0.0
native-country-code_NIC,0.0
native-country-code_HKG,0.0
native-country-code_HND,0.0
native-country-code_HTI,0.0
native-country-code_NLD,0.0
native-country-code_CAN,-1.1102230246251566e-17
native-country_jamaica,-1.1102230246251566e-17
native-country_ecuador,-1.1102230246251566e-17
native-country-code_IND,-1.1102230246251566e-17
native-country-code_TTO,-2.2204460492503132e-17
native-country-code_COL,-3.3306690738754695e-17
native-country-code_CUB,-3.3306690738754695e-17
native-country_columbia,-3.3306690738754695e-17
native-country_france,-2.086811352254303e-05
native-country-code_PRT,-2.086811352254303e-05
native-country_scotland,-2.086811352254303e-05
native-country-code_FRA,-2.086811352254303e-05
native-country-code_THA,-2.086811352254303e-05
native-country_nicaragua,-2.086811352254303e-05
native-country_cambodia,-2.086811352254303e-05
native-country-code_KHM,-2.086811352254303e-05
native-country_cuba,-2.086811352254303e-05
native-country_england,-2.0868113522554134e-05
native-country_trinadad&tobago,-2.0868113522554134e-05
native-country-code_ECU,-2.0868113522554134e-05
native-country_thailand,-2.0868113522554134e-05
native-country_china,-2.0868113522565233e-05
native-country-code_CHN,-2.0868113522565233e-05
native-country-code_TWN,-4.173622704508606e-05
native-country-code_PHL,-4.173622704508606e-05
native-country-code_PER,-4.173622704508606e-05
native-country-code_ZAF,-6.26043405676291e-05
occupation_sales,-0.00016694490818032205
native-country_mexico,-0.00018781302170284286
native-country_hungary,-0.00018781302170288726
native-country-code_HUN,-0.00018781302170288726
native-country-code_YUG,-0.00018781302170288726
marital-status_married-af-spouse,-0.0002086811352254192
native-country_yugoslavia,-0.0002086811352254192
native-country_india,-0.00022954924874791783
native-country_poland,-0.00022954924874796223
native-country_vietnam,-0.00022954924874796223
native-country-code_POL,-0.00022954924874796223
native-country-code_VNM,-0.00025041736227049416
race_asian-pac-islander,-0.00031302170283808994
native-country_south,-0.00031302170283810106
native-country-code_USA,-0.000375626043405719
occupation_adm-clerical,-0.0004799666110184009
workclass_state-gov,-0.0005008347245409328
native-country_united-states,-0.0005425709515860077
marital-status_separated,-0.0008347245409015214
occupation_craft-repair,-0.0014398998330551137
